"area_numbe","area_num_1","area","comarea","comarea_id","community","perimeter","shape_area","shape_len","life_expectency","violent_crime_count","per_families_children_below_poverty","per_bachelors","per_no_internet","per_no_HI","per_same_house","per_poor_mh","disconnection_rate","hs_disconnection_rate","covid_death_rate","structural_ranking","covid_impact_ranking","health_ranking","overall_ranking","pr_poverty","pr_no_bachelors","pr_no_internet","pr_no_HI","pr_moved","pr_comm_disconnection","pr_hs_disconnection","pr_covid_death_rate","pr_poor_mh","pr_crime","pr_life_expectency","percent_black_hisp","pr_black_hisp","total","hs_graduation_spr2020","pr_low_hs_grad","partner_count","pr_partner_count"
35,35,0,0,0,"DOUGLAS",0,46004621.1581,31027.0545098,74.0149,801,18.61862046277,26.3317112621998,17.5182240377234,11.355735277991,77.006518258581,12.9738348503125,10.019874,22.677492,190.2152,0.697368421052632,0.289473684210526,0.434210526315789,0.46,0.434210526315789,0.236842105263158,0.447368421052632,0.315789473684211,0.921052631578947,0.513157894736842,0.907894736842105,0.302631578947368,0.5,0.578947368421053,0.684210526315789,0.699761157682761,0.486842105263158,4.26315789473684,84,0.618421052631579,25,0.881578947368421
36,36,0,0,0,"OAKLAND",0,16913961.0408,19565.5061533,70.0112,223,28.4695505238256,23.2205964852991,19.3619482933423,12.7027931733694,84.7961912808381,15.7913653261237,9.431925,21.332105,206.4,0.552631578947368,0.5,0.75,0.61,0.657894736842105,0.368421052631579,0.565789473684211,0.407894736842105,0.631578947368421,0.381578947368421,0.789473684210526,0.434210526315789,0.828947368421053,0.157894736842105,0.881578947368421,0.951985609519856,0.75,5.06578947368421,85,0.513157894736842,2,0.197368421052632
37,37,0,0,0,"FULLER PARK",0,19916704.8692,25339.0897503,65.8205,258,31.779033379694,5.01177329624478,34.9820862308762,31.772145340751,89.4393080667594,15.2909944367177,10.006558,22.506069,248.8,0.723684210526316,0.960526315789474,0.986842105263158,0.83,0.789473684210526,0.947368421052632,0.973684210526316,0.973684210526316,0.394736842105263,0.5,0.855263157894737,0.815789473684211,0.75,0.184210526315789,1,0.978111587982833,0.960526315789474,6.94736842105263,79,0.881578947368421,3,0.236842105263158
38,38,0,0,0,"GRAND BOULEVARD",0,48492503.1554,28196.8371573,72.7974,1122,31.9858224269233,18.7834930913402,22.6249783391856,9.13257330475626,83.3559674403758,14.8655479046012,10.05,22.73,179.80056,0.776315789473684,0.460526315789474,0.565789473684211,0.66,0.802631578947368,0.434210526315789,0.684210526315789,0.236842105263158,0.723684210526316,0.526315789473684,0.934210526315789,0.276315789473684,0.697368421052632,0.697368421052632,0.75,0.930574570507441,0.697368421052632,5.36842105263158,88,0.25,10,0.618421052631579
39,39,0,0,0,"KENWOOD",0,29071741.9283,23325.1679062,77.2299,439,15.7862395605627,27.0452435401603,15.9535379182781,6.29598004596155,80.3865685779945,11.2074267137492,9.886185,22.359501,141.55832,0.565789473684211,0.184210526315789,0.236842105263158,0.28,0.381578947368421,0.197368421052632,0.368421052631579,0.144736842105263,0.815789473684211,0.394736842105263,0.828947368421053,0.171052631578947,0.223684210526316,0.381578947368421,0.526315789473684,0.698618692213434,0.473684210526316,3.06578947368421,91,0.0921052631578947,7,0.539473684210526
4,4,0,0,0,"LINCOLN SQUARE",0,71352328.2399,36624.6030848,79.8616,500,8.61689666523181,35.3399810092928,7.5349125161421,9.31298660522118,82.0894472438154,10.2085204973033,9.227839,10.174295,235.60981,0.302631578947368,0.315789473684211,0.157894736842105,0.21,0.197368421052632,0.131578947368421,0.0657894736842105,0.263157894736842,0.776315789473684,0.368421052631579,0.434210526315789,0.710526315789474,0.118421052631579,0.434210526315789,0.328947368421053,0.215685343087191,0.131578947368421,2.61842105263158,88,0.25,1,0.131578947368421
40,40,0,0,0,"WASHINGTON PARK",0,42373881.4842,28175.3160866,69.5243,842,41.9124178543996,8.74370572672186,25.8242980285056,14.9426414611249,77.6766168814543,17.9902108048135,10.072708,22.713326,133.31619,0.894736842105263,0.447368421052632,0.855263157894737,0.75,0.921052631578947,0.776315789473684,0.815789473684211,0.5,0.907894736842105,0.539473684210526,0.921052631578947,0.131578947368421,0.934210526315789,0.605263157894737,0.921052631578947,0.948947032546267,0.723684210526316,6.09210526315789,84,0.618421052631579,5,0.421052631578947
41,41,0,0,0,"HYDE PARK",0,45105380.1732,29746.7082016,82.9254,370,7.34663759199408,23.8721751489428,8.17160040496865,3.63813091390522,72.1575849850084,10.6950196643433,9.962565,22.532249,111.8517,0.618421052631579,0.0526315789473684,0.0789473684210526,0.09,0.157894736842105,0.355263157894737,0.0921052631578947,0.0789473684210526,0.986842105263158,0.473684210526316,0.868421052631579,0.0526315789473684,0.171052631578947,0.302631578947368,0.0131578947368421,0.338949130339859,0.276315789473684,1.61842105263158,91,0.0921052631578947,6,0.473684210526316
42,42,0,0,0,"WOODLAWN",0,57815179.512,46936.9592443,74.7261,1141,42.1831004887811,12.7086968402417,22.9098633722049,11.7896709386907,80.0315721818112,15.4022245314244,9.979491,22.555952,165.13352,0.842105263157895,0.421052631578947,0.592105263157895,0.68,0.934210526315789,0.552631578947368,0.710526315789474,0.328947368421053,0.842105263157895,0.486842105263158,0.894736842105263,0.223684210526316,0.763157894736842,0.710526315789474,0.644736842105263,0.860972468201578,0.592105263157895,5.39473684210526,81,0.75,5,0.421052631578947
1,1,0,0,0,"ROGERS PARK",0,51259902.4506,34052.3975757,75.0986,1046,29.0529050208216,26.4695919332254,16.1427155352694,16.4275126838937,78.4961926497063,13.5757105708207,6.14243,15.842394,328.09514,0.631578947368421,0.75,0.671052631578947,0.58,0.697368421052632,0.223684210526316,0.381578947368421,0.578947368421053,0.868421052631579,0.131578947368421,0.565789473684211,0.986842105263158,0.578947368421053,0.684210526315789,0.631578947368421,0.470013519603425,0.355263157894737,5.02631578947368,85,0.513157894736842,4,0.342105263157895
